PC1,PC2
-1.8945361216183896,-0.46003721058431685
-2.56352919195846,-1.0727057236286857
-1.911795374506516,-0.38780268938573165
-2.876485398968004,0.08495560190437638
-1.3697592111365884,0.9965036092751006
-1.7932844429652512,-1.1126673880367286
-1.3812016161931933,-0.42541621958327225
-1.536128858577338,0.48924252013954395
-1.3557709207426656,-0.3095474586065224
-2.096002443973515,-0.7959603070322749
-1.129688220873659,0.20585058001368878
-0.8347527428370195,0.17305428579660848
-0.7005919933088531,-0.1450989108243675
-0.8890435061007947,0.33216534476408205
-0.6886353441282576,-0.26080244145176235
-1.0759918361007055,-0.2166268235389687
-1.386230619730595,-0.3864250005127152
-1.4126452936206337,-0.41380086506998454
-0.6184077434580572,-0.5041752038752929
-1.0759918361007055,-0.2166268235389687
-0.19816247960729635,0.48818504745308455
-1.044447282493319,0.17133796713245267
-0.7005919933088531,-0.1450989108243675
-0.834766307335258,0.17306791880418082
-1.138365357525094,0.37142044368023003
-0.8755422811624697,0.34593123344968835
-1.52732713269685,-1.3106494545377818
-1.1441210524626202,0.3621077208165673
-2.428534288896931,-0.9184508722486847
-0.589490039785602,-0.17543329906915733
-2.5686429333898726,-0.962471715789038
-0.4874218337823324,0.20518500008158244
-0.5800091327947374,-0.5147448537185173
-2.0859724276919573,-0.42698579885319365
-0.5792749417194571,0.8095495975741986
-0.8864005328151118,1.0567664844250588
-0.4351794562274362,0.6393140224420687
-0.6079922996875622,-0.5235403511652758
-0.9139371613739891,-0.33489937862358143
-0.8864005328151118,1.0567664844250588
-2.5686429333898726,-0.962471715789038
-1.5708403768660548,-0.08566398219430503
-0.8533837307812528,-0.5749247989448523
-1.0476689607881087,-0.9718163509663246
-1.952913376801237,0.7104349499526709
-2.243264239289077,-0.870749267206656
-0.5144579961402218,0.7689769728432959
-0.19816247960729635,0.48818504745308455
-0.5305753969879504,-0.08150276368094503
-0.8853420820465834,-0.5958129419429966
-2.49828388665066,-0.6483654325434008
-0.7005882763293402,-0.10446490678609208
-0.48161373027719756,0.3278543287577902
-0.11562559844048549,-0.21903038988599066
-2.13700372889658,0.8853171261377776
-1.0759918361007055,-0.2166268235389687
-2.3603957517895853,-0.27208932233419053
-2.1369334061750513,0.8851028127055632
-0.9166487655434328,-0.3388073082152053
-0.29540157823724655,0.5417640097871905
-0.6184077434580572,-0.5041752038752929
-2.0736061123583194,-0.5615629553604445
-0.19677478074960494,0.4887596126778426
-1.0426182309777159,-0.9666730640792008
-0.6812394233874277,-0.25737653391166826
-0.9702960244041485,-0.6090622271912132
-2.100312548230902,-0.5573422312690662
-0.6886353441282576,-0.26080244145176235
-0.11611399468057869,-0.21853971169121378
-1.138365357525094,0.37142044368023003
-0.8698788767118747,0.5270331774428881
-1.8452903348974505,-0.019583608615529925
-0.8491263990398645,-0.5667342826508125
-0.9476838792901277,0.4289530926169623
-0.841098091261497,-0.4403279108387478
-1.1454507171569204,0.08595653520512962
-0.6210634345883136,1.1882789031229606
-1.0896260588073354,1.4148713513377462
